Category,Disease,Ranked_Proteins
Musculoskeletal,Intervertebral_disc_disorders,"PNLIPRP2, VIM, SMC3, SULT1A1, RAD51, TBL1X, HMOX1, SKAP2, PLIN3, SRC, GGT1, PRKAB1, SERPINE1, PDE5A, FGF21, GFAP, CDC26, FXN, VAV3, PDLIM5, PSMD9, SCP2, CD2AP, IGFBP1, FOXO3"
Musculoskeletal,Osteoarthritis,"COL9A1, LEP, SRC, CDKN1A, LYN, SMAD3, PSMD1, PNLIPRP2, CD3G, PSMD9, CEBPB, HHEX, TBL1X, LEFTY2, VWF, PSMC3, PGA4, FOXO3, IGFBP1, JUN, AKT3, OCLN, VIM, COL1A1, SMAD2"
Musculoskeletal,Osteoporosis,"SOST, COL1A1, STAT5B, COL9A1, CEACAM8, PSME2, COL4A1, CEACAM6, LEP, KLK3, PPP2R5A, LYN, CGA, PNLIPRP2, CASP3, PSMA1, SNCA, STK4, SFTPD, ELN, MRPL58, AKT2, TBL1X, PRKAB1, SMAD1"
Musculoskeletal,Polymyalgia_Rheumatica,"SERPINE1, APP, PNLIPRP2, SRC, GGT1, SMC3, VIM, TBL1X, PSMD9, NPHS2, GSTA1, VPS37A, PSMD1, MYL6B, LMNB1, PSME2, PSMD5, BGN, STAT5B, RNF5, MAP2K6, PSME1, CHIT1, CD2AP, TPRKB"
Musculoskeletal,Rheumatoid_Arthritis,"S100A12, CDC27, GH1, AKT2, CDC26, PARK7, CASP4, GRAP2, BHLHE40, IL6, CTSH, RUVBL1, SFTPD, SMC3, PSMD9, APP, PTPN6, CA6, INPP5D, MAP2K6, COL2A1, SERPINE1, KIF22, HSBP1, TRIM21"
Musculoskeletal,Spinal_stenosis,"SRC, TBL1X, CDKN1A, PSMD9, APP, GRAP2, SERPINE1, MYL3, TRIM25, PNLIPRP2, LYN, KIF22, GP1BB, VIM, POLR2F, COL1A1, COL4A1, VAMP8, PDE5A, BGN, RPA2, COPE, COL9A1, LEP, EHD3"
Musculoskeletal,Spondylosis,"PNLIPRP2, TBL1X, LMNB1, NCK2, SKAP2, HSPA2, SMAD3, TIMM8A, SULT1A1, VIM, NAMPT, PSMD1, PARK7, SERPINE1, FLI1, BHLHE40, CASP3, POLR2A, LEP, CA6, RNF5, GP6, PDE5A, SMAD2, CDKN1A"
Neurological,Migraine,"FOXO3, SMC3, CDKN1A, TBL1X, CDH15, PNLIPRP2, MAP2K6, NPHS2, COL4A1, LEP, DLG4, AKT2, F7, SMAD2, ARID4B, DKK1, NBN, CDC27, LMNB1, VAV3, BHLHE40, SERPINE1, VIM, ATF2, PSMD1"
Neurological,Motor_neuron_disease,"TBL1X, TERF1, NBN, PNLIPRP2, LMNB1, HSPA2, SERPINE1, NAMPT, VIM, PSMD1, VAV3, PSMA1, BGN, SRC, VWF, ACTN2, TPR, COL4A1, TRIM25, SFTPA2, EP300, PSMD9, CEACAM8, FOXO3, BHLHE40"
Neurological,Postviral_fatigue_syndrome_neurasthenia_and_fibromyalgia,"LEP, NUP50, PSMD9, PNLIPRP2, F7, PSMD1, RUVBL1, VIM, TBL1X, SHC1, CA6, TOMM20, KLK3, SFTPA1, MNAT1, CGA, FGF2, SMC3, ACY1, TNNI3, GSTA1, NPHS2, BGN, CEACAM8, CDKN1A"
Psychiatric,Alcohol_Problems,"FGF21, RUVBL1, SRC, PNLIPRP2, SERPINE1, GGT1, STAT5B, ATF2, COL9A1, VIM, ITGA6, COL1A1, HMOX1, SFTPD, CDH1, SCP2, PSMD9, LMNB1, HSPA2, ATP6V1F, APOA4, TPRKB, GRPEL1, VAV3, GSTA1"
Psychiatric,Anxiety_disorders,"PNLIPRP2, SULT1A1, TBL1X, SRC, KLK3, GSTA1, GFER, SERPINB8, TWF2, KIF22, RAD51, PPP2R5A, GP1BB, SERPINE1, FOXO3, LYN, MSR1, PSME2, SCP2, SNAP25, VIM, RANBP2, PLCB2, LMNB1, TERF1"
Psychiatric,Delirium_not_induced_by_alcohol_and_other_psychoactive_substances,"TBL1X, GFAP, APOE, COL4A1, NBN, PNLIPRP2, CDC27, PSME2, SRC, VIM, BHLHE40, MYH9, TNNI3, PLIN3, CHIT1, FGF21, RPA2, FOXO3, MYL3, PRKAB1, CHMP6, PSMA1, ITGA6, MYL6B, ITGA2"
Psychiatric,Dementia,"GFAP, NEFL, APOE, PNLIPRP2, TBL1X, DLG4, PARK7, SAP18, CEACAM8, GGT1, SRC, VGF, CHMP6, MYH9, GCG, BCAN, VIM, CTSH, LMNB1, PSMD9, APOA2, TP53BP1, NBN, SERPINE1, PLIN3"
Psychiatric,Depression,"VIM, PDLIM5, FLI1, PSMD9, CDKN1A, SULT1A1, PNLIPRP2, YAP1, VAV3, STXBP1, DLG4, SRC, NAMPT, KLK3, SCP2, POLR2F, IMMT, SMC3, LEP, TPR, TBL1X, PNLIPRP1, TPMT, PLIN3, CAT"
Respiratory,Allergic_and_chronic_rhinitis,"SRC, SULT1A1, PNLIPRP2, TRDMT1, SERPINE1, CHMP6, NBN, HSPA2, TBL1X, PTPN6, ATF2, PSMD1, RAD51, VIM, VPS28, SKAP2, GSTA1, PSMD9, SFTPD, LMNB1, F7, CHIT1, FXN, CDC27, STK4"
Respiratory,Asthma,"LYN, LEP, RNASE3, ENO1, FGF21, PRG3, PTPN6, MMP10, POLR2F, VIM, CA6, POMC, PRG2, LTA4H, LEFTY2, TBL1X, OLFM4, PSMD9, NCF2, SMAD2, SULT1A1, PLCB2, FGF2, PNLIP, YARS1"
Respiratory,Bronchiectasis,"SFTPD, CHIT1, POLR2F, GH1, TOMM20, TBL1X, GFER, CEACAM6, MSR1, PNLIPRP2, GSTA1, IL6, COL1A1, MYH9, SERPINE1, TRAF2, GUCY2C, COL2A1, SMAD2, VIM, CTSH, PSMA1, NAMPT, MSLN, MMP10"
Respiratory,COPD,"PSMD5, CEACAM6, SFTPD, LYN, TNR, CA6, PGA4, COL2A1, ITGA2, SFTPA2, OCLN, ODAM, LEP, VAV3, COL4A1, TBL1X, FGA, ITGA5, MSLN, VIM, FGF2, LTBP2, CDH15, PNLIPRP2, PSMD9"
Respiratory,Pleural_effusion,"FGF21, FGF2, SFTPD, CHIT1, COL4A1, NBN, ITGA6, MMP7, CEACAM6, IL6, SRC, PSMD5, SFTPA2, GH1, COL1A1, SDC4, TNNI3, CDC26, PNLIPRP2, VIM, CSF2RA, GSTA1, CALCA, TRIM25, CDKN1A"
Respiratory,Pulmonary_collapse,"VWF, CDKN1A, FXN, CHIT1, NBN, VIM, F7, GRPEL1, PCNA, COL2A1, PNLIPRP2, PSMA1, PRKAB1, APOL1, GSTA1, LAMA1, MSR1, TERF1, RPA2, PLAT, MYL6B, TBL1X, PSME2, POLR2F, HMOX1"
Respiratory,Respiratory_failure,"CTSH, TBL1X, CEACAM8, SFTPD, IGFBP1, VWF, SRC, NAMPT, MYH9, GSTA1, CHIT1, VIM, GH1, OCLN, CALCA, PSMD9, CEACAM6, ITGA6, CDKN1A, CA6, PGA4, ITGA2, AGXT, SULT1A1, PNLIPRP2"
Respiratory,Sleep_apnoea,"TBL1X, SMAD2, PNLIPRP2, PDE5A, ACY1, CHIT1, CA13, ACTN2, GSTA1, PSMD9, PTPN6, SERPINE1, FOXO3, MYH9, SULT1A1, ANXA2, DLG4, POLR2F, FGF2, MAP2K6, GRIN2B, STXBP1, GUK1, TRDMT1, PSME1"
Skin,Actinic_keratosis,"TBL1X, VWF, NPHS2, LMNB1, SRC, VIM, PNLIPRP2, MYH9, LYN, CHIT1, NBN, PDLIM5, STAT5B, VPS28, VAV3, PSMD5, FOXO3, COL4A1, SMC3, CEACAM8, APOL1, ATF2, NCK2, FGF21, PSMD9"
Skin,Dermatitis,"CASP4, POLR2F, GSTA1, ITGA6, PNLIPRP2, SFTPD, VWF, NBN, TP53, PLIN3, MYH9, VIM, FGF2, TBL1X, KIF22, PSMD9, CDH2, CASP3, MLLT1, RAB11FIP3, SHC1, APP, CA6, PSCA, IL6"
Skin,Psoriasis,"IL19, PNLIPRP2, TBL1X, STAT5B, SRC, PSMA1, CDC27, PSMD9, VIM, LMNB1, GSTA1, TP53BP1, TPR, CDKN1A, NBN, YES1, DNM1, CDC26, MYH9, CASP3, RAD51, PSMD1, SULT1A1, EGF, CASP4"
