Category,Disease,Ranked_Proteins
Digestive,Peptic_ulcer_disease,"PNLIPRP2, RAD51, NCK2, SERPINE1, BHLHE40, SAP18, SULT1A1, IGFBP1, TBL1X, CDKN1A, GP6, LMNB1, SRC, VIM, CASP3, VAV3, PGA4, HMOX1, PRKAB1, GUCY2C, APP, CHIT1, MYL6B, FGF21, NBN"
Ear,Hearing_loss,"SULT1A1, GFAP, SHC1, VPS37A, CHMP6, ITGA6, VWF, TPMT, SERPINE1, PRKAB1, FGF21, CHIT1, PSMD1, RAD51, KLK1, VAV3, PSMD9, ITGA2, GP1BB, DCTN2, F7, FKBP1B, LMNB1, CHCHD6, ATP5PO"
Endocrine,Diabetes_NOS,"SRC, HMOX1, VIM, IGFBP1, FGF21, ACY1, VPS37A, TBL1X, IL6, NCK2, APOE, RAD51, PNLIPRP2, CDH1, GFER, GRPEL1, LPL, TRDMT1, FGF23, SLC39A5, MFGE8, IGFBP3, SKAP2, STXBP1, CHIT1"
Endocrine,Diabetes_Type_II,"LPL, APOA4, PSMA1, IGFBP1, TBL1X, PNLIPRP2, LEP, CDH2, ITGB6, MATN3, VWF, COL5A1, POLR2F, SRC, NBN, PSMD9, PCSK9, SERPINE1, GSTA1, MVK, GCG, ITGA2, PSME2, FABP1, MYH9"
Endocrine,Hypo_or_hyperthyroidism,"TSHB, PNLIPRP2, LEP, CALCA, SRC, VIM, AKT2, PDCD1, KLK3, CES1, CDKN1A, ACY1, HMOX1, SERPINE1, FURIN, VAV3, GGT1, SMAD3, STK4, SMC3, EGF, UBE2L6, VWF, FOXO3, CEACAM8"
Endocrine,Hypothyroidism,"TSHB, LEP, TBL1X, PDCD1, CDKN1A, SERPINE1, MYH9, KLK3, CALCA, PSMD9, SMAD3, COL2A1, AKT2, CDH15, CES1, YES1, GSTA1, FABP1, LYN, PDLIM5, ATF2, ARID4B, GGT1, GUSB, FLI1"
Endocrine,Obesity,"LEP, SULT1A1, AFP, SCG3, IL6, FXN, CHGB, GGT1, COL4A1, CEACAM8, GSTA1, LMNB1, CALCA, PNLIPRP2, TBL1X, HSP90B1, GCG, VPS28, ITGB5, RNASE1, CHMP6, CA6, CA13, SIRT1, PSCA"
Eye,Cataract,"FABP1, GSTA1, VWF, AKT2, CTSH, VIM, FOXO3, PNLIPRP2, ITGA6, PSMA1, FGF2, NAMPT, TBL1X, PCNA, GP1BB, REN, BGN, GFAP, HRAS, SPON1, LMNB1, PPP2R5A, SERPINE1, APOL1, HGS"
Eye,Diabetic_ophthalmic_complications,"TBL1X, REN, GSTA1, GCG, CDH1, PLCB2, ITGA6, SERPINE1, LMNB1, FGF21, BHLHE40, SULT1A1, VIM, PSMD9, COL4A1, CDH15, APOA4, MYH9, GH1, SMAD2, CDKN1A, FABP4, INPPL1, APOE, COL1A1"
Eye,Glaucoma,"VIM, PNLIPRP2, LMNB1, TBL1X, VWF, CHIT1, COL2A1, PLIN3, PARK7, BHLHE40, PSMD9, MYH9, RAD51, MYL6B, RANBP2, FGF21, CEACAM8, COL4A1, TWF2, TOMM20, GGT1, PRKAB1, SRC, GFAP, SERPINE1"
