"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","multicellular organism development","GO:0007275","false","0.000006256371249093663","5.203677488425029","4690","51","31","20972","APOA4,APOE,ATF2,BCAN,CDH1,CDKN1A,COL1A1,COL4A1,CTSH,DLG4,FGF21,GFAP,HMOX1,ITGA6,KLK3,LEP,MYH9,NBN,NEFL,PDLIM5,RUVBL1,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TP53BP1,VAV3,VGF,VIM,YAP1"
"GO:BP","protein localization to nucleus","GO:0034504","false","0.000006835048160361988","5.165258421007532","319","51","10","20972","ATF2,CDH1,CDKN1A,COL1A1,LEP,LMNB1,PARK7,SRC,TPR,YAP1"
"GO:BP","response to wounding","GO:0009611","false","0.00001410498296602993","4.85062743398672","570","51","12","20972","APOA4,APOE,CDKN1A,CHMP6,HMOX1,MYH9,NEFL,SERPINE1,SRC,STXBP1,VAV3,YAP1"
"GO:BP","macromolecule localization","GO:0033036","false","0.000015369580750658316","4.813337978964729","2876","51","24","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,CHMP6,COL1A1,DLG4,GCG,GFAP,LEP,LMNB1,MYH9,NBN,PARK7,RUVBL1,SCP2,SRC,STXBP1,TP53BP1,TPR,VGF,YAP1"
"GO:BP","regulation of multicellular organismal process","GO:0051239","false","0.000021253418555530216","4.6725712048892145","2923","51","24","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,COL1A1,CTSH,DLG4,FGF21,GFAP,HMOX1,KLK3,LEP,NEFL,PARK7,RUVBL1,SERPINE1,SFTPD,SRC,STAT5B,TP53BP1,VAV3,YAP1"
"GO:BP","anatomical structure development","GO:0048856","false","0.000023939820598537867","4.620879108455798","5948","51","34","20972","APOA4,APOE,ATF2,BCAN,CDH1,CDKN1A,COL1A1,COL4A1,COL9A1,CTSH,DLG4,FGF21,FLI1,GFAP,HMOX1,HSPA2,ITGA6,KLK3,LEP,MYH9,NBN,NEFL,PDLIM5,RUVBL1,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TP53BP1,VAV3,VGF,VIM,YAP1"
"GO:BP","response to oxygen-containing compound","GO:1901700","false","0.0000373678294352913","4.42750212804421","1632","51","18","20972","APOA2,APOA4,APOE,CDH1,COL1A1,CTSH,GCG,HMOX1,LEP,NEFL,PARK7,SERPINE1,SRC,STAT5B,STXBP1,VGF,VIM,YAP1"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","false","0.00003992781855015611","4.398724416765582","1639","51","18","20972","APOA2,APOE,ATF2,CDKN1A,COL1A1,CTSH,FGF21,GFAP,HMOX1,LEP,NEFL,PARK7,SERPINE1,SRC,STAT5B,TP53BP1,VAV3,YAP1"
"GO:BP","positive regulation of macromolecule biosynthetic process","GO:0010557","false","0.00004540719503252951","4.342875325219037","2538","51","22","20972","APOA2,APOE,ATF2,CDH1,COL1A1,CTSH,FLI1,HMOX1,ITGA6,KLK3,LEP,MYH9,NAMPT,PARK7,RUVBL1,SERPINE1,SRC,STAT5B,TBL1X,TP53BP1,VIM,YAP1"
"GO:BP","negative regulation of biological process","GO:0048519","false","0.000048480429885539055","4.314433537849821","5753","51","33","20972","APOA2,APOA4,APOE,ATF2,CDH1,CDKN1A,CHMP6,COL1A1,CTSH,DLG4,GCG,GFAP,HMOX1,HSPA2,ITGA6,KLK3,LEP,LMNB1,MYH9,NBN,NEFL,PARK7,SAP18,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TBL1X,TP53BP1,TPR,VIM,YAP1"
